source	target	weight
ff06500cf46fa87ae4bbd93e9672af8d	bcd30be9072430550bccd2123f156d52	1
bcd30be9072430550bccd2123f156d52	1e9f911e849c19a6b844609d4338f619	1
bcd30be9072430550bccd2123f156d52	6a764d448646ac6a133f081dd95edfff	1
f491a26961a27e52922821fbba86ba1a	1ecfa8bc169d611ff3d559a2452ca0a5	1
1ecfa8bc169d611ff3d559a2452ca0a5	2f05dc8fed6d24f87dd71a71cb6e16c1	1
2f05dc8fed6d24f87dd71a71cb6e16c1	a18e423bd53e2e94bcbbc5b517c08c79	1
a18e423bd53e2e94bcbbc5b517c08c79	d5cedb81966444cfde811942a8c37bb3	1
301aa003eab90e1dfb228cfb9755897e	1db06ec89545565c857569f95a31d8af	1
1db06ec89545565c857569f95a31d8af	1fed57019efaed0a3274550aaf373826	1
fc89e75d7bf699a8377216abe9e075c5	9dd2d35e678214cb3ceee7c9537a13d3	1
9dd2d35e678214cb3ceee7c9537a13d3	d8a166da1664865d5fc30340584324b4	1
597a8a9ebfd9723df8c4087eb4ba05ce	baddd498550a7a410e8d5144a8ebc4e7	1
baddd498550a7a410e8d5144a8ebc4e7	421b0eb90cdb86f0fc1451267e666554	1
baddd498550a7a410e8d5144a8ebc4e7	875f0ad10f3b1e0b7a4e5eb3ae634e36	1
5e5578ba7333aec7cf71851e799f1223	bcd9b970092381e012f1351b8e2c34d7	1
bcd9b970092381e012f1351b8e2c34d7	435eb06fcdcbcff38b15e911c966a15c	1
5eb69ffa4a2ae44a71bede4c677c46a0	cc2932113ff8a6ad72027737ac97bad3	1
cc2932113ff8a6ad72027737ac97bad3	dd259bebf00f15f0ebc0015333222280	1
dd259bebf00f15f0ebc0015333222280	99975f68113e560b68aa78bd203f04d3	1
99975f68113e560b68aa78bd203f04d3	43ee5a3b680a76ca2afcf940578ab0eb	1
99975f68113e560b68aa78bd203f04d3	1b8e85de9d43bcac49cc90b539b530e6	1
f29d794d4f772a2662be67da710b0bf3	02a0e51d5eb182be6dffa606cdb20457	1
02a0e51d5eb182be6dffa606cdb20457	528a1aa470785309b720c0e28de56e61	1
41766ba833c161d53edde9a77951b087	2db42d76d1f16f528c6e6a4050bf7ac4	1
2db42d76d1f16f528c6e6a4050bf7ac4	dc41620e732815907ee93c5a4d4e10b9	1
c1a9b1f51fcfa7cd2d324bb17e7bac1e	c45b7ed92d9d60560c31e955ccc2adf5	1
c45b7ed92d9d60560c31e955ccc2adf5	ede6d7966e48bbc1a023e0ef019dc066	1
81d48144d60ecf6465417520aeb9d2b5	696db9f027a52457b9319c02058de3e3	1
696db9f027a52457b9319c02058de3e3	06b94783fb8402bdba9b01a32c884ed4	1
06b94783fb8402bdba9b01a32c884ed4	0a9d97a4f31ff37f768093bbf6ff7984	1
0a9d97a4f31ff37f768093bbf6ff7984	ea3e8e8eea2f46052cb13f62a159f51b	1
7d6dec8ff707e60a1a5ad229b6552f8a	df1bb458fdcf7a6abb3d10ef3144211b	1
df1bb458fdcf7a6abb3d10ef3144211b	00374c21e497190b486b54dc8c8f88f0	1
b0369807f7427370204fba023bdcfb4c	220cadeaccd83f018fa4c97a06e04676	1
220cadeaccd83f018fa4c97a06e04676	a660064a7eec9eeb3bad97c7057a7760	1
c56d40fb189eae5cfbefe2d993e2c49c	d3d86d02faed9ab2b4858b832b31e6c1	1
d3d86d02faed9ab2b4858b832b31e6c1	b02e0a749fd389a3f8b83b89b5e43f43	1
199310bcc624066aa72b37020092a80b	f120d38d2866dfb21bc899061a0ce815	1
f120d38d2866dfb21bc899061a0ce815	574c38e8773e5d5848d243d0b57a837e	1
37f2acb5a98cef7287e0cac067a060fc	93496188c09a1c6c6cac0e0db144c66d	1
93496188c09a1c6c6cac0e0db144c66d	fc641dcaaf837566544c67ed874fed89	1
c9b1d4b94fbb694b3a239d856b7e38e1	22cb3403df82c8ec5ea2a0ed6dfbbdce	1
22cb3403df82c8ec5ea2a0ed6dfbbdce	1efcaee5cea3480ae03b927f46d75bda	1
b964ac42a3a07ecde1d8a519b0682efb	07d9b8b48f518ac0fecfbd019b0fb84c	1
07d9b8b48f518ac0fecfbd019b0fb84c	384d83d0239dc08fc7b7dc8b04613803	1
a1c27365e79659b17ab95f06971f3883	dc80cf5c8ecdb2d544f2109786d13444	1
dc80cf5c8ecdb2d544f2109786d13444	4eb36a4768a25c45cc6e7d19707ed64b	1
8a7d6f86663f8c69cc058258ef307243	1aff5de16681bff1a7b0ba30fea993c3	1
1aff5de16681bff1a7b0ba30fea993c3	47b5713c0a38d7ac8b4d992a9f624c5c	1
bb674137f14b605510f7f9f21db22e58	357511dfe86c6a98148f993b4c8e6d3a	1
357511dfe86c6a98148f993b4c8e6d3a	3816191e3636e3098624e594e999b44f	1
2824396e8bd1ea53b1cf3686aead670d	ed0399a522c2ccff8b90e824d5003f08	1
ed0399a522c2ccff8b90e824d5003f08	408482959673ea4e0c60b7a602b63e4e	1
ed0399a522c2ccff8b90e824d5003f08	07d884115bee2a2bd37019d67429c17f	1
107dbe8f38720916c5272e0a76d99977	222e9acedc374be4fd58e77ef691f155	1
222e9acedc374be4fd58e77ef691f155	526cf3ef63bf55719f093fecf93705f0	1
97377792cfa1d0122347d5d0377619d7	5da352b17c84099c032138e75b15532f	1
5da352b17c84099c032138e75b15532f	73df61feb8f5252afcbbf0040d8095e3	1
5da352b17c84099c032138e75b15532f	e0c64ccdcbfc65b02040e4b21c7c2643	1
e7108e374b9a2a81569abe2fe6ff5d0a	d4e1c2ae8e327a1465359ac4e831c6a6	1
d4e1c2ae8e327a1465359ac4e831c6a6	5f0521e931468244d40aa4634327b117	1
be0b4377de43393a69f5f44aab9d3d0b	b3f45985298e9c6aa163f32bedffa89f	1
b3f45985298e9c6aa163f32bedffa89f	ddd0e539d5323df4089e23cddf19892f	1
cea4972ae71efcc74ce804f4162b5aa7	506437cf899193ed667c2a4d9752388b	1
506437cf899193ed667c2a4d9752388b	437437ef4215074b0309289799eda12e	1
506437cf899193ed667c2a4d9752388b	a806c3a30552b2cc3ea332ef03c8225c	1
08c5d9c10e40cc0dc9b87b256602df90	4daeea2592b65353bcf4744830fa57fd	1
4daeea2592b65353bcf4744830fa57fd	a5b3808a92d48b3b477882aadd1d7233	1
38949db631f58cab8ecf4640a70ec8a1	ee940192bc5fd4563ec2dc2f7b111666	1
ee940192bc5fd4563ec2dc2f7b111666	ff8f05e0d8c9abccb239f8e4dc3b13ff	1
897c0a41d2cf9c0f9d8889431511d095	ea90643401c0bebb4604dd0a28c2a8cd	1
ea90643401c0bebb4604dd0a28c2a8cd	f9b23640879d944914da0f847c4ca3dd	1
b0106dadf4ad910f0d3b85c506d41b66	0a52486b88246c080d1e9cca216138a4	1
0a52486b88246c080d1e9cca216138a4	329cde22d90d1d90da548c8198976bd0	1
0a52486b88246c080d1e9cca216138a4	fd5e2fe68f927679940b5aafdd5ad135	1
0514fb4fca0b66edc73097a9cd52cbc1	75ca523190e0a8bf12258545b2bcd997	1
75ca523190e0a8bf12258545b2bcd997	7f0dc7ee49f37ffa95a42f207c9bf320	1
881cfdac0274615dd5d9010da6466726	f63b5c4a07cbe8eed61df73211ecd5c1	1
f63b5c4a07cbe8eed61df73211ecd5c1	5549de41f5bb4cd4a8f91cf79a003daa	1
aaccdbfb4ec22ec97c0bc1521710b2e8	a17572433aa0c38b2cbd68ec1843c6cd	1
a17572433aa0c38b2cbd68ec1843c6cd	d13a8afb3e4fb780749bf4711446054b	1
35acae8cd1969aa3fecb6423524ab9c5	b6cd933113f52cb05c4876fb98866309	1
b6cd933113f52cb05c4876fb98866309	00da6b0ab586f836a8271e6f6088ec64	1
e36db8807146df1516354850ef057bbf	f91a5b1620c9d09ec42359e9366da5b2	1
548be747b955678689b746fe30696bbe	2b7cd27cc5fd88fc74a69ae310d4fca1	1
2b7cd27cc5fd88fc74a69ae310d4fca1	f373fce7f74e8cc89b1c2c71add6a87c	1
f3cd274efcf9ff48a2a3e289cd0291f5	cca94021f544e6fe25babc77d6e46e51	1
cca94021f544e6fe25babc77d6e46e51	27544058d2593a36b4521b1a91c8f081	1
27544058d2593a36b4521b1a91c8f081	b747aa0ae856d2c716420c44faceb211	1
b747aa0ae856d2c716420c44faceb211	3fec6641665aad981aa32a3c09018c74	1
b747aa0ae856d2c716420c44faceb211	db7745c3f637ed3b2b8b06f71306f630	1
c1c0af5fd694eb282302b88690c69c40	ad652f6aa05bb96d0464efdd72ad3d9e	1
ad652f6aa05bb96d0464efdd72ad3d9e	fdab42acc5e73be7bd3dabb31f09e685	1
ad652f6aa05bb96d0464efdd72ad3d9e	ef9806e840e0c2cdaa3514d6a762872b	1
ad652f6aa05bb96d0464efdd72ad3d9e	a9ad901ad479eec76337148648517270	1
ae5bd22f904ddcbea5e28a1a5d3d7cde	aa988de4d7ca92b0d591fe777832e3f7	1
aa988de4d7ca92b0d591fe777832e3f7	07fb32f55e4b86f86fccfd9d8f4803fb	1
304b9b9cb2550b16aab77d91bab042c6	4b4ef707c459f6b3078cc65751ab55a8	1
4b4ef707c459f6b3078cc65751ab55a8	08faf1704e2e3f5437420c55c603a848	1
4b4ef707c459f6b3078cc65751ab55a8	3a9f994d890a67a3948c05d9f5d1ca41	1
4b4ef707c459f6b3078cc65751ab55a8	f752f143ace6e864b00cce8d22281a14	1
8f82fc77ae4892fac7c6932ef9ae2f72	c2aa4142e81509bab01d1be777bee9dc	1
c2aa4142e81509bab01d1be777bee9dc	a71313ec1875cfab332fcb385b45f307	1
c2aa4142e81509bab01d1be777bee9dc	a40fd287a2361a94b6f8627b0911288a	1
c2aa4142e81509bab01d1be777bee9dc	93f63a084cdddc3502b6ddf46c8bc3c1	1
aa0511beb18d8eea2dc84ba3b02d1357	1b95421da1f88f0e3af94f68e0e2c14c	1
1b95421da1f88f0e3af94f68e0e2c14c	d43527631f3ad2649e2febab5b5740d7	1
76d37591b70de1cc17ce8793151e10ec	2a28f4fa0846117fe1d64b364f6d5b03	1
2a28f4fa0846117fe1d64b364f6d5b03	c21f6087eb64f37e6b0bcb1db89de789	1
2a28f4fa0846117fe1d64b364f6d5b03	d25efd98b71d5c02a4539e2fc3015a68	1
377ac1dedaa2efab3c9b438bcec74ea3	cab5179bfc7e68abf316a4c17b05544b	1
cab5179bfc7e68abf316a4c17b05544b	ae158856a340ba813559029626ec8a06	1
00ef5dc2310f81070e27cfbfd4ab80b9	15d8bd95fe26a7edae17143815b6fe4c	1
15d8bd95fe26a7edae17143815b6fe4c	5302261cdcc4951e2a9dd84574554373	1
b034bbe72c7e7ff04609dfa414cacde6	ac0e1a3aa9b7e2315a1af756eb6c9623	1
ac0e1a3aa9b7e2315a1af756eb6c9623	d4f932474ad66b38713e01512f6add79	1
e7154fca187ff2121d9c45d1b4a9f0dd	8269365257ebc476dccdd3d848c10d8f	1
8269365257ebc476dccdd3d848c10d8f	6f48a4c9ad2e21160fe2e3e5a281e390	1
8269365257ebc476dccdd3d848c10d8f	efd1be9388898a6eaeca0879c9722729	1
8269365257ebc476dccdd3d848c10d8f	d24ec2a052337a92ee4f12d69554841b	1
d24ec2a052337a92ee4f12d69554841b	490a49355a364c7665e561164d5a7714	1
490a49355a364c7665e561164d5a7714	566aae7e4cfe23b259a5ffeffc34c043	1
0c5a466792fac63ebea0a02fb87c5130	dfa3a648e2f852de5d3135734a6afc66	1
dfa3a648e2f852de5d3135734a6afc66	dc6ce66a430f8d171d4fddd2f22ffee1	1
