source	target	weight
a075341d014f6b6d2a493984526815f2	a7fe4e3e159a77ec6b2c6d3d0973634f	1
a7fe4e3e159a77ec6b2c6d3d0973634f	a075341d014f6b6d2a493984526815f2	1
a075341d014f6b6d2a493984526815f2	9c8c8b54810420e31e9c947e3bde0a0b	1
9c8c8b54810420e31e9c947e3bde0a0b	a075341d014f6b6d2a493984526815f2	1
a075341d014f6b6d2a493984526815f2	70082483395fed635db99115255a29a5	1
9c8c8b54810420e31e9c947e3bde0a0b	a075341d014f6b6d2a493984526815f2	1
a075341d014f6b6d2a493984526815f2	e0952dabe66fb3b590df20ec5f034397	1
e0952dabe66fb3b590df20ec5f034397	287c934dc060e12bb3f87d848f9c5b05	1
287c934dc060e12bb3f87d848f9c5b05	a075341d014f6b6d2a493984526815f2	1
a075341d014f6b6d2a493984526815f2	e0952dabe66fb3b590df20ec5f034397	1
e0952dabe66fb3b590df20ec5f034397	8473ecc27c572010c6fc5b6a6e5c69fb	1
287c934dc060e12bb3f87d848f9c5b05	a075341d014f6b6d2a493984526815f2	1
a075341d014f6b6d2a493984526815f2	e0952dabe66fb3b590df20ec5f034397	1
e0952dabe66fb3b590df20ec5f034397	5c3fe12bd34bbccfe88841b237949606	1
5c3fe12bd34bbccfe88841b237949606	a075341d014f6b6d2a493984526815f2	1
a075341d014f6b6d2a493984526815f2	e0952dabe66fb3b590df20ec5f034397	1
e0952dabe66fb3b590df20ec5f034397	132c8f373a769e38e7b2e097e74bdaf9	1
132c8f373a769e38e7b2e097e74bdaf9	a075341d014f6b6d2a493984526815f2	1
a075341d014f6b6d2a493984526815f2	e0952dabe66fb3b590df20ec5f034397	1
e0952dabe66fb3b590df20ec5f034397	660c658a7876464586fc3f072e34c2ce	1
660c658a7876464586fc3f072e34c2ce	a075341d014f6b6d2a493984526815f2	1
a075341d014f6b6d2a493984526815f2	e0952dabe66fb3b590df20ec5f034397	1
e0952dabe66fb3b590df20ec5f034397	1d353aa6bb4ec4c38c988721a9b9a7eb	1
1d353aa6bb4ec4c38c988721a9b9a7eb	a075341d014f6b6d2a493984526815f2	1
a075341d014f6b6d2a493984526815f2	e0952dabe66fb3b590df20ec5f034397	1
e0952dabe66fb3b590df20ec5f034397	1d163cec72fed3b1f7c2ab989484382f	1
1d163cec72fed3b1f7c2ab989484382f	a075341d014f6b6d2a493984526815f2	1
a075341d014f6b6d2a493984526815f2	e0952dabe66fb3b590df20ec5f034397	1
e0952dabe66fb3b590df20ec5f034397	90e39cd33b0feff3c9b7da49c76562ec	1
90e39cd33b0feff3c9b7da49c76562ec	a075341d014f6b6d2a493984526815f2	1
a075341d014f6b6d2a493984526815f2	e0952dabe66fb3b590df20ec5f034397	1
e0952dabe66fb3b590df20ec5f034397	a6be31200f9cf4770eb9cbc511e0fb93	1
a6be31200f9cf4770eb9cbc511e0fb93	a075341d014f6b6d2a493984526815f2	1
a075341d014f6b6d2a493984526815f2	e0952dabe66fb3b590df20ec5f034397	1
e0952dabe66fb3b590df20ec5f034397	7837217aa245f58f90e36716324b5159	1
7837217aa245f58f90e36716324b5159	a075341d014f6b6d2a493984526815f2	1
a075341d014f6b6d2a493984526815f2	e0952dabe66fb3b590df20ec5f034397	1
e0952dabe66fb3b590df20ec5f034397	1dc02ad4c1d53defc476bb57b44a9cf8	1
1dc02ad4c1d53defc476bb57b44a9cf8	a075341d014f6b6d2a493984526815f2	1
a075341d014f6b6d2a493984526815f2	e0952dabe66fb3b590df20ec5f034397	1
e0952dabe66fb3b590df20ec5f034397	4b0a6c005544d834172768ee28ccac9c	1
4b0a6c005544d834172768ee28ccac9c	a075341d014f6b6d2a493984526815f2	1
