source	target	weight
620187d1eeb8a7bc2ccaa9d307146f62	c08bed164fa0650f03e9bf885a7984ef	1
c08bed164fa0650f03e9bf885a7984ef	0297106096739212859fbafc8ecd42fc	1
c08bed164fa0650f03e9bf885a7984ef	1c46f9d185437398af9a0720a86d6d60	1
1c46f9d185437398af9a0720a86d6d60	9cb11dc5c489153019d48844b66289fd	1
1c46f9d185437398af9a0720a86d6d60	5d113dfef00111a99773382351e9e4cf	1
5d113dfef00111a99773382351e9e4cf	d47ec7e2fba47a783d15677ceeb11ff7	1
d47ec7e2fba47a783d15677ceeb11ff7	c1ef2d09db986afa00bde2736087c070	1
c1ef2d09db986afa00bde2736087c070	7b7022610f612556d2c453d9300d2b3d	1
7b7022610f612556d2c453d9300d2b3d	bf0b369c0f2534422faf5483936ba225	1
bf0b369c0f2534422faf5483936ba225	071ba49aebebc7296b4c1be06bdd0958	1
071ba49aebebc7296b4c1be06bdd0958	5a8a7b6d98bf7808de81faee1ebd4b67	1
5a8a7b6d98bf7808de81faee1ebd4b67	48dc8da3fdbc9fc12ec7659496feaaab	1
48dc8da3fdbc9fc12ec7659496feaaab	7bed45093d445ba46453880eb1b98f81	1
7bed45093d445ba46453880eb1b98f81	404ee88a206961201d9fb8c21e78c80b	1
404ee88a206961201d9fb8c21e78c80b	1200dd13ecf7aba10bbc1010699d47eb	1
1200dd13ecf7aba10bbc1010699d47eb	cc66d895d2741c1d13cb063c583110d8	1
cc66d895d2741c1d13cb063c583110d8	b400118af1c9bb6b58b6b4b0d6ffe77d	1
b400118af1c9bb6b58b6b4b0d6ffe77d	617a1927fc4f7f90bed9d268c3682644	1
617a1927fc4f7f90bed9d268c3682644	ed67cb2da35ced6af886985db4f72e93	1
ed67cb2da35ced6af886985db4f72e93	a41c26372da8508141611e44829a51b9	1
a41c26372da8508141611e44829a51b9	6e17ff7a42eece20c4d0d4ebb0f21676	1
6e17ff7a42eece20c4d0d4ebb0f21676	4f1cbd155334441e78e9d10c45dd396e	1
4f1cbd155334441e78e9d10c45dd396e	3b03e3fb955af79e83200fcd5de40995	1
3b03e3fb955af79e83200fcd5de40995	2a16e149e1f1c5a0946e7fd619af66dd	1
2a16e149e1f1c5a0946e7fd619af66dd	ef1faf73d7640aa14cf50bdb61cb4050	1
ef1faf73d7640aa14cf50bdb61cb4050	7c97e5007386d5561640bfd61a8ce0bf	1
7c97e5007386d5561640bfd61a8ce0bf	1b150a1f52efea1be1e6cb3e9f7158ef	1
