source	target	weight
be54cf74020f7affe81e7295dcf2a101	c04381e2a819a6378fb5b565e6d73ace	1
c04381e2a819a6378fb5b565e6d73ace	be54cf74020f7affe81e7295dcf2a101	1
be54cf74020f7affe81e7295dcf2a101	f2dd718956c8d9711f851d4b5d03dfb7	1
f2dd718956c8d9711f851d4b5d03dfb7	fbf35a9e37dfb7b0857ad94b7eb9597d	1
fbf35a9e37dfb7b0857ad94b7eb9597d	64d86c051038f1d82ad7e192e2366ddf	1
64d86c051038f1d82ad7e192e2366ddf	be54cf74020f7affe81e7295dcf2a101	1
be54cf74020f7affe81e7295dcf2a101	f2dd718956c8d9711f851d4b5d03dfb7	1
f2dd718956c8d9711f851d4b5d03dfb7	fbf35a9e37dfb7b0857ad94b7eb9597d	1
fbf35a9e37dfb7b0857ad94b7eb9597d	817ce45e2c69ca1f4918de5e88e52d9e	1
817ce45e2c69ca1f4918de5e88e52d9e	7e6f5596055fc5c6366e975a54910446	1
7e6f5596055fc5c6366e975a54910446	39bdc1c177bcd23cec30b8eed8cc3555	1
64d86c051038f1d82ad7e192e2366ddf	be54cf74020f7affe81e7295dcf2a101	1
be54cf74020f7affe81e7295dcf2a101	f2dd718956c8d9711f851d4b5d03dfb7	1
f2dd718956c8d9711f851d4b5d03dfb7	fbf35a9e37dfb7b0857ad94b7eb9597d	1
fbf35a9e37dfb7b0857ad94b7eb9597d	817ce45e2c69ca1f4918de5e88e52d9e	1
817ce45e2c69ca1f4918de5e88e52d9e	7e6f5596055fc5c6366e975a54910446	1
7e6f5596055fc5c6366e975a54910446	fed4a9e1a3ba9e1709ebbbdd5012dad6	1
64d86c051038f1d82ad7e192e2366ddf	be54cf74020f7affe81e7295dcf2a101	1
be54cf74020f7affe81e7295dcf2a101	f2dd718956c8d9711f851d4b5d03dfb7	1
f2dd718956c8d9711f851d4b5d03dfb7	fbf35a9e37dfb7b0857ad94b7eb9597d	1
fbf35a9e37dfb7b0857ad94b7eb9597d	817ce45e2c69ca1f4918de5e88e52d9e	1
817ce45e2c69ca1f4918de5e88e52d9e	7e6f5596055fc5c6366e975a54910446	1
7e6f5596055fc5c6366e975a54910446	67ec30fdaab043d54482c568eed9b76d	1
64d86c051038f1d82ad7e192e2366ddf	be54cf74020f7affe81e7295dcf2a101	1
be54cf74020f7affe81e7295dcf2a101	f2dd718956c8d9711f851d4b5d03dfb7	1
f2dd718956c8d9711f851d4b5d03dfb7	fbf35a9e37dfb7b0857ad94b7eb9597d	1
fbf35a9e37dfb7b0857ad94b7eb9597d	817ce45e2c69ca1f4918de5e88e52d9e	1
817ce45e2c69ca1f4918de5e88e52d9e	7e6f5596055fc5c6366e975a54910446	1
7e6f5596055fc5c6366e975a54910446	bd1e9016aa978b7216c6233a69bb5c6b	1
64d86c051038f1d82ad7e192e2366ddf	be54cf74020f7affe81e7295dcf2a101	1
be54cf74020f7affe81e7295dcf2a101	f2dd718956c8d9711f851d4b5d03dfb7	1
f2dd718956c8d9711f851d4b5d03dfb7	fbf35a9e37dfb7b0857ad94b7eb9597d	1
fbf35a9e37dfb7b0857ad94b7eb9597d	817ce45e2c69ca1f4918de5e88e52d9e	1
817ce45e2c69ca1f4918de5e88e52d9e	7e6f5596055fc5c6366e975a54910446	1
7e6f5596055fc5c6366e975a54910446	e320652d9c653ac6110bb8670cbd9ce9	1
64d86c051038f1d82ad7e192e2366ddf	be54cf74020f7affe81e7295dcf2a101	1
be54cf74020f7affe81e7295dcf2a101	f2dd718956c8d9711f851d4b5d03dfb7	1
f2dd718956c8d9711f851d4b5d03dfb7	fbf35a9e37dfb7b0857ad94b7eb9597d	1
fbf35a9e37dfb7b0857ad94b7eb9597d	817ce45e2c69ca1f4918de5e88e52d9e	1
817ce45e2c69ca1f4918de5e88e52d9e	7e6f5596055fc5c6366e975a54910446	1
7e6f5596055fc5c6366e975a54910446	5d04439341b587b7848d5e0363f48621	1
64d86c051038f1d82ad7e192e2366ddf	be54cf74020f7affe81e7295dcf2a101	1
be54cf74020f7affe81e7295dcf2a101	f2dd718956c8d9711f851d4b5d03dfb7	1
f2dd718956c8d9711f851d4b5d03dfb7	fbf35a9e37dfb7b0857ad94b7eb9597d	1
fbf35a9e37dfb7b0857ad94b7eb9597d	817ce45e2c69ca1f4918de5e88e52d9e	1
